"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","380","test_TC_Crear_traduccion_de_taxon_con_name_y_slug_valido[a-bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb]","tests.catalog.taxons","Sat Nov 22 12:50:23 UTC 2025","passed","Sat Nov 22 12:50:24 UTC 2025","","test_HU12_EA_POST_Taxon","",""
"","376","test_TC520_Validar_error_al_actualizar_imagen_con_tipo_de_256_caracteres","tests.catalog.taxons.taxon_images","Sat Nov 22 12:49:46 UTC 2025","passed","Sat Nov 22 12:49:46 UTC 2025","","test_HU18_EA_PUT_TaxonImage","",""
"","383","test_TC_Actualizar_taxon_con_posicion_valida[0]","tests.catalog.taxons","Sat Nov 22 12:50:50 UTC 2025","passed","Sat Nov 22 12:50:50 UTC 2025","","test_HU13_EA_PUT_Taxon","",""
"","327","test_TC_Autenticacion_fallida_401[asdfSDFs23d-SFhgsf23]","tests.login","Sat Nov 22 12:51:54 UTC 2025","passed","Sat Nov 22 12:51:54 UTC 2025","","test_HU01_EA_POST_LoginAdmin","",""
"","355","test_TC_Obtener_lista_de_taxones_con_paginacion_invalida[1-uno]","tests.catalog.taxons","Sat Nov 22 12:50:06 UTC 2025","skipped","Sat Nov 22 12:50:07 UTC 2025","","test_HU10_EA_GET_Taxons","",""
"","388","test_TC_Actualizar_traduccion_de_taxon_con_name_y_slug_valido[c-test-slug]","tests.catalog.taxons","Sat Nov 22 12:51:06 UTC 2025","passed","Sat Nov 22 12:51:07 UTC 2025","","test_HU13_EA_PUT_Taxon","",""
"","549","test_TC111_Obtener_taxon_por_code_existente","tests.catalog.taxons","Sat Nov 22 12:50:09 UTC 2025","passed","Sat Nov 22 12:50:09 UTC 2025","","test_HU11_EA_GET_Taxon","",""
"","375","test_TC_Listar_imagenes_con_paginacion_invalida[0-1]","tests.catalog.taxons.taxon_images","Sat Nov 22 12:48:35 UTC 2025","passed","Sat Nov 22 12:48:36 UTC 2025","","test_HU14_EA_GET_TaxonImages","",""
"","290","test_TC193_Validar_error_al_eliminar_imagen_sin_token","tests.catalog.taxons.taxon_images","Sat Nov 22 12:49:53 UTC 2025","passed","Sat Nov 22 12:49:54 UTC 2025","","test_HU19_EA_DELETE_TaxonImage","",""
"","969","test_TC135_Actualizar_taxon_existente_con_datos_validos","tests.catalog.taxons","Sat Nov 22 12:50:34 UTC 2025","passed","Sat Nov 22 12:50:35 UTC 2025","","test_HU13_EA_PUT_Taxon","",""
"","433","test_TC186_Validar_error_al_agregar_imagen_a_un_taxon_con_campo_tipo_con_256_caracteres","tests.catalog.taxons.taxon_images","Sat Nov 22 12:49:16 UTC 2025","passed","Sat Nov 22 12:49:17 UTC 2025","","test_HU17_EA_POST_TaxonImage","",""
"","328","test_TC150_Validar_error_al_eliminar_taxon_inexistente","tests.catalog.taxons","Sat Nov 22 12:51:33 UTC 2025","passed","Sat Nov 22 12:51:33 UTC 2025","","test_HU14_EA_DELETE_Taxon","",""
"","358","test_TC_418_421_Validar_error_al_obtener_imagen_con_ID_invalido[-1]","tests.catalog.taxons.taxon_images","Sat Nov 22 12:48:45 UTC 2025","passed","Sat Nov 22 12:48:45 UTC 2025","","test_HU16_EA_GET_TaxonImage","",""
"","422","test_TC_Autenticacion_fallida_401[api@example.com-SFhgsf23]","tests.login","Sat Nov 22 12:51:54 UTC 2025","passed","Sat Nov 22 12:51:55 UTC 2025","","test_HU01_EA_POST_LoginAdmin","",""
"","387","test_TC121_Crear_taxon_con_todos_los_campos_validos","tests.catalog.taxons","Sat Nov 22 12:50:12 UTC 2025","passed","Sat Nov 22 12:50:12 UTC 2025","","test_HU12_EA_POST_Taxon","",""
"","336","test_TC129_Validar_error_al_crear_taxon_con_referencia_de_taxon_padre_invalido","tests.catalog.taxons","Sat Nov 22 12:50:21 UTC 2025","passed","Sat Nov 22 12:50:21 UTC 2025","","test_HU12_EA_POST_Taxon","",""
"","346","test_TC182_Validar_error_al_actualizar_imagen_inexistente_de_un_taxon_existente","tests.catalog.taxons.taxon_images","Sat Nov 22 12:49:20 UTC 2025","passed","Sat Nov 22 12:49:20 UTC 2025","","test_HU18_EA_PUT_TaxonImage","",""
"","351","test_TC_Listar_imagenes_con_paginacion_invalida[uno-1]","tests.catalog.taxons.taxon_images","Sat Nov 22 12:48:37 UTC 2025","passed","Sat Nov 22 12:48:37 UTC 2025","","test_HU14_EA_GET_TaxonImages","",""
"","738","test_TC195_Validar_error_al_eliminar_dos_veces_misma_imagen","tests.catalog.taxons.taxon_images","Sat Nov 22 12:49:57 UTC 2025","passed","Sat Nov 22 12:49:58 UTC 2025","","test_HU19_EA_DELETE_TaxonImage","",""
"","616","test_TC_418_421_Validar_error_al_obtener_imagen_con_ID_invalido[uno]","tests.catalog.taxons.taxon_images","Sat Nov 22 12:48:44 UTC 2025","passed","Sat Nov 22 12:48:45 UTC 2025","","test_HU16_EA_GET_TaxonImage","",""
"","382","test_TC_Crear_taxon_con_code_valido[aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa]","tests.catalog.taxons","Sat Nov 22 12:50:15 UTC 2025","passed","Sat Nov 22 12:50:15 UTC 2025","","test_HU12_EA_POST_Taxon","",""
"","468","test_TC_Obtener_lista_de_taxones_con_paginacion_valida[1-None]","tests.catalog.taxons","Sat Nov 22 12:50:03 UTC 2025","passed","Sat Nov 22 12:50:03 UTC 2025","","test_HU10_EA_GET_Taxons","",""
"","372","test_TC192_Validar_error_al_eliminar_imagen_inexistente_en_un_taxon","tests.catalog.taxons.taxon_images","Sat Nov 22 12:49:50 UTC 2025","passed","Sat Nov 22 12:49:50 UTC 2025","","test_HU19_EA_DELETE_TaxonImage","",""
