"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","269","test_TC_Obtener_lista_de_taxones_con_paginacion_invalida[1-uno]","tests.catalog.taxons","Mon Nov 10 18:33:22 UTC 2025","skipped","Mon Nov 10 18:33:23 UTC 2025","","test_HU10_EA_GET_Taxons","",""
"","331","test_TC_91_Autenticacion_exitosa_con_email_y_contrasena_validos[API@EXAMPLE.COM-sylius-api]","tests.login","Mon Nov 10 18:34:31 UTC 2025","passed","Mon Nov 10 18:34:32 UTC 2025","","test_HU01_EA_POST_LoginAdmin","",""
"","266","test_TC148_Actualizar_taxon_con_estado_activado","tests.catalog.taxons","Mon Nov 10 18:34:00 UTC 2025","passed","Mon Nov 10 18:34:00 UTC 2025","","test_HU13_EA_PUT_Taxon","",""
"","203","test_TC_Validar_error_al_crear_traduccion_de_taxon_con_name_y_slug_invalido[-bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb]","tests.catalog.taxons","Mon Nov 10 18:33:39 UTC 2025","passed","Mon Nov 10 18:33:39 UTC 2025","","test_HU12_EA_POST_Taxon","",""
"","240","test_TC152_Validar_error_al_eliminar_taxon_sin_code","tests.catalog.taxons","Mon Nov 10 18:34:27 UTC 2025","passed","Mon Nov 10 18:34:27 UTC 2025","","test_HU14_EA_DELETE_Taxon","",""
"","450","test_TC_Obtener_lista_de_taxones_con_paginacion_invalida[1--1]","tests.catalog.taxons","Mon Nov 10 18:33:21 UTC 2025","passed","Mon Nov 10 18:33:22 UTC 2025","","test_HU10_EA_GET_Taxons","",""
"","270","test_TC152_Validar_error_al_eliminar_taxon_sin_autenticacion","tests.catalog.taxons","Mon Nov 10 18:34:28 UTC 2025","passed","Mon Nov 10 18:34:28 UTC 2025","","test_HU14_EA_DELETE_Taxon","",""
"","269","test_TC_Crear_traduccion_de_taxon_con_name_y_slug_valido[aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa-a]","tests.catalog.taxons","Mon Nov 10 18:33:36 UTC 2025","passed","Mon Nov 10 18:33:36 UTC 2025","","test_HU12_EA_POST_Taxon","",""
"","431","test_TC_Obtener_lista_de_taxones_con_paginacion_invalida[1-None]","tests.catalog.taxons","Mon Nov 10 18:33:23 UTC 2025","skipped","Mon Nov 10 18:33:23 UTC 2025","","test_HU10_EA_GET_Taxons","",""
"","279","test_TC_Autenticacion_fallida_400[payload5]","tests.login","Mon Nov 10 18:34:35 UTC 2025","passed","Mon Nov 10 18:34:35 UTC 2025","","test_HU01_EA_POST_LoginAdmin","",""
"","259","test_TC116_Obtener_taxon_sin_imagen_asociado","tests.catalog.taxons","Mon Nov 10 18:33:25 UTC 2025","passed","Mon Nov 10 18:33:26 UTC 2025","","test_HU11_EA_GET_Taxon","",""
"","266","test_TC145_Actualizar_taxon_sin_referencia_de_taxon_padre","tests.catalog.taxons","Mon Nov 10 18:33:52 UTC 2025","passed","Mon Nov 10 18:33:52 UTC 2025","","test_HU13_EA_PUT_Taxon","",""
