"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","386","test_TC_Actualizar_traduccion_de_taxon_con_name_y_slug_valido[d-test_slug]","tests.catalog.taxons","Tue Nov 11 17:08:10 UTC 2025","passed","Tue Nov 11 17:08:11 UTC 2025","","test_HU13_EA_PUT_Taxon","",""
"","354","test_TC_Crear_traduccion_de_taxon_con_name_y_slug_valido[aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa-a]","tests.catalog.taxons","Tue Nov 11 17:07:30 UTC 2025","passed","Tue Nov 11 17:07:31 UTC 2025","","test_HU12_EA_POST_Taxon","",""
"","367","test_TC_Actualizar_traduccion_de_taxon_con_name_y_slug_valido[eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee-c]","tests.catalog.taxons","Tue Nov 11 17:08:12 UTC 2025","passed","Tue Nov 11 17:08:13 UTC 2025","","test_HU13_EA_PUT_Taxon","",""
"","396","test_TC_Autenticacion_fallida_400[payload5]","tests.login","Tue Nov 11 17:08:45 UTC 2025","passed","Tue Nov 11 17:08:45 UTC 2025","","test_HU01_EA_POST_LoginAdmin","",""
"","732","test_TC128_Crear_taxon_con_referencia_de_taxon_padre_valido","tests.catalog.taxons","Tue Nov 11 17:07:24 UTC 2025","passed","Tue Nov 11 17:07:24 UTC 2025","","test_HU12_EA_POST_Taxon","",""
"","315","test_TC116_Obtener_taxon_sin_imagen_asociado","tests.catalog.taxons","Tue Nov 11 17:07:17 UTC 2025","passed","Tue Nov 11 17:07:17 UTC 2025","","test_HU11_EA_GET_Taxon","",""
"","329","test_TC136_Validar_error_al_actualizar_taxon_inexistente","tests.catalog.taxons","Tue Nov 11 17:07:41 UTC 2025","passed","Tue Nov 11 17:07:41 UTC 2025","","test_HU13_EA_PUT_Taxon","",""
"","1112","test_TC180_Agregar_mas_de_una_imagen_a_un_taxon_existente","tests.catalog.taxons.taxon_images","Tue Nov 11 17:06:42 UTC 2025","passed","Tue Nov 11 17:06:43 UTC 2025","","test_HU17_EA_POST_TaxonImage","",""
"","720","test_TC505_Agregar_imagen_a_un_taxon_con_un_peso_maximo_de_2MB","tests.catalog.taxons.taxon_images","Tue Nov 11 17:07:03 UTC 2025","passed","Tue Nov 11 17:07:03 UTC 2025","","test_HU17_EA_POST_TaxonImage","",""
"","388","test_TC137_Validar_error_al_actualizar_taxon_sin_code","tests.catalog.taxons","Tue Nov 11 17:07:43 UTC 2025","passed","Tue Nov 11 17:07:43 UTC 2025","","test_HU13_EA_PUT_Taxon","",""
"","366","test_TC385_Crear_taxon_con_mas_de_una_traduccion_valida","tests.catalog.taxons","Tue Nov 11 17:07:36 UTC 2025","passed","Tue Nov 11 17:07:36 UTC 2025","","test_HU12_EA_POST_Taxon","",""
"","374","test_TC177_Agregar_imagen_a_un_taxon_con_solo_campo_requerido","tests.catalog.taxons.taxon_images","Tue Nov 11 17:06:48 UTC 2025","passed","Tue Nov 11 17:06:48 UTC 2025","","test_HU17_EA_POST_TaxonImage","",""
