"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","282","test_TC150_Validar_error_al_eliminar_taxon_inexistente","tests.catalog.taxons","Tue Nov 11 18:50:22 UTC 2025","passed","Tue Nov 11 18:50:22 UTC 2025","","test_HU14_EA_DELETE_Taxon","",""
"","311","test_TC134_Crear_taxon_con_estado_desactivado","tests.catalog.taxons","Tue Nov 11 18:49:25 UTC 2025","passed","Tue Nov 11 18:49:25 UTC 2025","","test_HU12_EA_POST_Taxon","",""
"","316","test_TC146_Actualizar_traduccion_existente_de_un_taxon","tests.catalog.taxons","Tue Nov 11 18:49:54 UTC 2025","skipped","Tue Nov 11 18:49:55 UTC 2025","","test_HU13_EA_PUT_Taxon","",""
"","269","test_TC_Listar_imagenes_con_paginacion_invalida[1--1]","tests.catalog.taxons.taxon_images","Tue Nov 11 18:48:03 UTC 2025","passed","Tue Nov 11 18:48:04 UTC 2025","","test_HU14_EA_GET_TaxonImages","",""
"","363","test_TC_91_Autenticacion_exitosa_con_email_y_contrasena_validos[api@example.com-sylius-api]","tests.login","Tue Nov 11 18:50:27 UTC 2025","passed","Tue Nov 11 18:50:28 UTC 2025","","test_HU01_EA_POST_LoginAdmin","",""
"","308","test_TC_518_519_Actualizar_imagen_con_tipo_valido[aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa]","tests.catalog.taxons.taxon_images","Tue Nov 11 18:48:55 UTC 2025","passed","Tue Nov 11 18:48:55 UTC 2025","","test_HU18_EA_PUT_TaxonImage","",""
"","307","test_TC133_Crear_taxon_con_estado_activado","tests.catalog.taxons","Tue Nov 11 18:49:24 UTC 2025","passed","Tue Nov 11 18:49:25 UTC 2025","","test_HU12_EA_POST_Taxon","",""
"","270","test_TC115_Obtener_taxon_con_imagen_asociado","tests.catalog.taxons","Tue Nov 11 18:49:16 UTC 2025","passed","Tue Nov 11 18:49:16 UTC 2025","","test_HU11_EA_GET_Taxon","",""
"","300","test_TC_Agregar_imagen_con_extension_invalida_a_un_taxon[test_image_xlsx_invalid.xlsx]","tests.catalog.taxons.taxon_images","Tue Nov 11 18:48:25 UTC 2025","skipped","Tue Nov 11 18:48:25 UTC 2025","","test_HU17_EA_POST_TaxonImage","",""
"","316","test_TC_Actualizar_traduccion_de_taxon_con_name_y_slug_valido[b-bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb]","tests.catalog.taxons","Tue Nov 11 18:49:59 UTC 2025","passed","Tue Nov 11 18:49:59 UTC 2025","","test_HU13_EA_PUT_Taxon","",""
"","296","test_TC_Validar_error_al_actualizar_traduccion_de_taxon_con_name_y_slug_invalido[bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb-]","tests.catalog.taxons","Tue Nov 11 18:50:15 UTC 2025","passed","Tue Nov 11 18:50:16 UTC 2025","","test_HU13_EA_PUT_Taxon","",""
"","274","test_TC182_Validar_error_al_actualizar_imagen_inexistente_de_un_taxon_existente","tests.catalog.taxons.taxon_images","Tue Nov 11 18:48:35 UTC 2025","passed","Tue Nov 11 18:48:36 UTC 2025","","test_HU18_EA_PUT_TaxonImage","",""
"","306","test_TC_Validar_error_al_actualizar_traduccion_de_taxon_con_name_y_slug_invalido[-test slug]","tests.catalog.taxons","Tue Nov 11 18:50:12 UTC 2025","passed","Tue Nov 11 18:50:13 UTC 2025","","test_HU13_EA_PUT_Taxon","",""
"","311","test_TC_Crear_taxon_con_code_valido[a]","tests.catalog.taxons","Tue Nov 11 18:49:19 UTC 2025","passed","Tue Nov 11 18:49:19 UTC 2025","","test_HU12_EA_POST_Taxon","",""
